Name,15 Minutes,Hourly,Daily,Weekly,Monthly
Reliance Industries,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Tata Consultancy,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
HDFC Bank,Strong Buy,Sell,Strong Sell,Sell,Strong Buy
Hindustan Unilever,Strong Sell,Strong Sell,Strong Buy,Strong Buy,Strong Buy
Housing Development Finance,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
ICICI Bank,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Infosys,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Kotak Mahindra Bank,Strong Buy,Neutral,Neutral,Strong Buy,Strong Buy
SBI,Strong Buy,Strong Buy,Strong Buy,Strong Buy,Strong Buy
Bharti Airtel,Neutral,Strong Buy,Neutral,Strong Buy,Strong Buy
Bajaj Finance,Strong Buy,Neutral,Strong Buy,Strong Buy,Strong Buy
ITC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
AXIS Bank,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Maruti Suzuki,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Standard Chartered DRC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Asian Paints,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Larsen & Toubro,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
HCL Tech,Sell,Strong Sell,Sell,Buy,Strong Buy
Nestle India,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Avenue Supermarts,Strong Sell,Sell,Buy,Strong Buy,Strong Buy
Bajaj Finserv,Strong Sell,Strong Sell,Strong Sell,Strong Buy,Strong Buy
Wipro,Sell,Strong Sell,Strong Sell,Strong Sell,Neutral
UltraTech Cement,Strong Sell,Strong Sell,Sell,Buy,Strong Buy
Oil & Natural Gas,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Titan Company,Buy,Strong Sell,Sell,Strong Buy,Strong Buy
HDFC Life,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
NTPC,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Coal India,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Indian Oil,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Power Grid,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Sun Pharma,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Sell
SBI Life Insurance,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Dabur India,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy
Bharat Petroleum,Strong Sell,Strong Sell,Strong Sell,Sell,Strong Buy
Bajaj Auto,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Strong Buy
Shree Cements,Sell,Strong Sell,Sell,Strong Buy,Strong Buy
IndusInd Bank,Buy,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Tech Mahindra,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Pidilite Industries,Strong Sell,Strong Sell,Neutral,Strong Buy,Strong Buy
Hindustan Zinc,Neutral,Strong Sell,Strong Sell,Strong Sell,Strong Sell
Britannia Industries,Strong Sell,Strong Sell,Strong Sell,Neutral,Strong Buy
